cif	ciudad	cliente	codigo	cp	direccion	email	id	lat	lng	Nombre	notas	Provincia	Regimen	Telefono
Q5355197D	TORREVIEJA		03012323	3183	CL.  MAESTRO JOSÉ PÉREZ, S/N	03012323@edu.gva.es		37,98427	-0,673252	CEIP  MAESTRO SALVADOR RUSO		Alacant	Púb.	966926730
Q4600881I	SAN ANTONIO DE BENAGÉBER		46006525	46184	CL.  8 DE ABRIL, S/N	46006525@edu.gva.es		39,557125	-0,4988	CEIP 8 DE ABRIL		València	Púb.	961205140
Q9655011F	VALÈNCIA		46013475	46018	CL.  MARÍA ZAMBRANO, 1	46013475@edu.gva.es		39,464885	-0,395878	CEIP 8 DE MARÇ		València	Púb.	962566240
Q5355187E	ALACANT		03000722	3012	CL.  PINOSO, 27	03000722@edu.gva.es		38,359595	-0,480952	CEIP 9 D'OCTUBRE		Alacant	Púb.	965919020
Q5355255J	PETRER		03007698	3610	AV.  BASSA PERICO, 11	03007698@edu.gva.es		38,478051	-0,773219	CEIP 9 D'OCTUBRE		Alacant	Púb.	966957340
Q9655724D	VALÈNCIA		46014868	46018	CL.  DEMOCRÀCIA, 32	46014868@edu.gva.es		39,473931	-0,398183	CEIP 9 D'OCTUBRE		València	Púb.	962566800
Q9655260I	ALCÀSSER		46000493	46290	CL.  EXTENSIÓ AGRÀRIA, 11	46000493@edu.gva.es		39,368478	-0,448015	CEIP 9 D'OCTUBRE		València	Púb.	961205220
Q9655319C	SENYERA		46007852	46669	CL.  RIU ALBAIDA, S/N	46007852@edu.gva.es		39,063769	-0,513068	CEIP 9 D'OCTUBRE		València	Púb.	962458020
Q9655434J	BOLBAITE		46002052	46822	CL.  CALVARIO, 95	46002052@edu.gva.es		39,060489	-0,672427	CEIP ALBAIT		València	Púb.	962249010
Q6255218G	SANTA MAGDALENA DE PULPIS		12002233	12597	CL.  SAN BERNARDO, S/N	12002233@edu.gva.es		40,357437	0,305209	CEIP ALBERTO SELMA		Castelló	Púb.	964336065
Q5355286E	SAX		03012128	3630	AV.  REY JAIME I, 16	03012128@edu.gva.es		38,539661	-0,814842	CEIP ALBERTO SOLS		Alacant	Púb.	966957425
Q9655291D	ALZIRA		46000675	46600	AV.  LUIS SUÑER, 27	46000675@edu.gva.es		39,15175	-0,443906	CEIP ALBORXÍ		València	Púb.	962457515
Q6255013B	BENASSAL		12000431	12160	CL.  SAN ISIDRO, 2-4	12000431@edu.gva.es		40,38011	-0,139625	CEIP ALCALDE FABREGAT		Castelló	Púb.	964336125
