cif;ciudad;cliente;codigo;cp;direccion;email;id;lat;lng;Nombre;notas;Provincia;Regimen;Telefono
Q5355128I;AGOST;;03000047;3698;AV.  DE ALCOY, S/N;03000047@edu.gva.es;;38,438389;-0,635608;CEIP LA RAMBLA;;Alacant;Púb.;966908135
;AGOST;;03000060;3698;CL.  JUAN XXIII, 2;03000060@edu.gva.es;;38,435035;-0,637196;CENTRE PRIVAT LA MILAGROSA;;Alacant;Priv. Conc.;965691143
Q5355126C;AIGÜES;;03000096;3569;AV.  DEL DOCTOR SAPENA, S/N;03000096@edu.gva.es;;38,500573;-0,365124;CEIP MIRADOR D'AIGÜES;;Alacant;Púb.;966908140
Q5355176H;ALBATERA;;03000138;3340;CL.  CALVARIO, 70;03000138@edu.gva.es;;38,183887;-0,875071;CEP VIRGEN DEL ROSARIO;;Alacant;Púb.;966912020
Q5355315B;SAN ISIDRO;;03000151;3349;CL.  SALVADOR, 1;03000151@edu.gva.es;;38,17326;-0,837016;CEIP JESÚS SÁNCHEZ;;Alacant;Púb.;966912015
Q5355047A;ALCOI;;03000230;3802;CL.  MESTRE RIBERA MONTÉS, 10;03000230@edu.gva.es;;38,695844;-0,487636;CEIP EL ROMERAL;;Alacant;Púb.;966527820
Q5355109I;ALCOI;;03000266;3801;CL.  SAN VICENTE, 50;03000266@edu.gva.es;;38,690266;-0,472831;CEIP SAN VICENTE;;Alacant;Púb.;966527825
Q5355174C;ALCOI;;03000308;3801;CL.  PERIÓDICO CIUDAD, 4;03000308@edu.gva.es;;38,70443;-0,481172;CEE PÚB. TOMÀS LLÀCER;;Alacant;Púb.;966527830
;ALCOI;;03000345;3804;CL.  PADRE POVEDA, 1;03000345@edu.gva.es;;38,705883;-0,470953;CENTRE PRIVAT JOSÉ ARNAUDA;;Alacant;Priv. Conc.;965330358
;ALCOI;;03000357;3801;CL.  PINTOR CASANOVA, 22;03000357@edu.gva.es;;38,699059;-0,473228;CENTRE PRIVAT LA PRESENTACIÓN;;Alacant;Priv. Conc.;965544702
;ALCOI;;03000382;3804;CL.  ARZOBISPO DOMENECH, 19;03000382@edu.gva.es;;38,708344;-0,464162;CENTRE PRIVAT ESCLAVES SCJ ALCOI;;Alacant;Priv. Conc.;965520616
Q5355169C;ALCOI;;03000394;3801;AV.  DE ELCHE, 15;03000394@edu.gva.es;;38,687524;-0,475878;IES PARE VITÒRIA;;Alacant;Púb.;966528115
Q5355168E;ALCOI;;03000400;3804;PG.  COTES BAIXES, S/N;03000400@edu.gva.es;;38,713786;-0,463346;IES COTES BAIXES;;Alacant;Púb.;966528110
;ALCOI;;03000424;3804;CL.  SAN JUAN BOSCO, 37;03000424@edu.gva.es;;38,708595;-0,462327;CENTRE PRIVAT SALESIANOS JUAN XXIII;;Alacant;Priv. Conc.;965332640
;ALCOI;;03000448;3803;CR.  CHORRADOR, 1;03000448@edu.gva.es;;38,707147;-0,478487;CENTRE PRIVAT LA SALLE;;Alacant;Priv. Conc.;966540010
;ALCOI;;03000451;3803;CL.  ENTENZA, 78;03000451@edu.gva.es;;38,703978;-0,477031;CENTRE PRIV. ED. INFANTIL EL SALVADOR;;Alacant;Priv.;965336867
;ALCOI;;03000473;3803;CL.  ESPRONCEDA, 1;03000473@edu.gva.es;;38,698557;-0,481553;CENTRE PRIVAT SANT ROC;;Alacant;Priv. Conc.;965331560
;ALCOI;;03000485;3801;PZ.  MOSSÉN JOSEP, 1;03000485@edu.gva.es;;38,693842;-0,47606;CENTRE PRIVAT SAN VICENTE FERRER;;Alacant;Priv. Conc.;965540866
;ALCOI;;03000497;3802;CL.  LA MILAGROSA, 1;03000497@edu.gva.es;;38,697443;-0,487953;CENTRE PRIVAT SAN VICENTE DE PAÚL;;Alacant;Priv. Conc.;965331878
;ALCOI;;03000503;3802;CL.  ISABEL II, 5;03000503@edu.gva.es;;38,693344;-0,481188;CENTRE PRIVAT SANTA ANA;;Alacant;Priv. Conc.;965332228
Q5355160B;L'ALFÀS DEL PI;;03000588;3580;CL.  CAMÍ DE LA MAR, 21;03000588@edu.gva.es;;38,57893;-0,097102;CEIP SANTÍSIMO CRISTO BUEN ACIERTO;;Alacant;Púb.;966870740
Q5355159D;ALGORFA;;03000591;3169;CL.  MIGUEL HERNÁNDEZ, 1-3;03000591@edu.gva.es;;38,08596;-0,795148;CEIP MIGUEL DE CERVANTES;;Alacant;Púb.;965290135
Q5355158F;ALGUEÑA;;03000606;3668;PS.  DE LA LIBERTAD, S/N;03000606@edu.gva.es;;38,337071;-1,00539;CEIP VIRGEN DEL REMEDIO;;Alacant;Púb.;966957345
Q5355572H;ALACANT;;03000679;3015;CL.  DOCTOR CRISTÓBAL PARDO, 4;03000679@edu.gva.es;;38,362228;-0,470363;IES JAIME II;;Alacant;Púb.;965936465
Q5355577G;ALACANT;;03000692;3009;CL.  ISIDORO DE SEVILLA, 2;03000692@edu.gva.es;;38,370572;-0,503569;CEIP EUSEBIO SEMPERE;;Alacant;Púb.;965936210
Q5355010I;ALACANT;;03000709;3012;CL.  MONTERO RÍOS, 2;03000709@edu.gva.es;;38,35745;-0,482196;CEIP MANJÓN-CERVANTES;;Alacant;Púb.;965932515
Q5355542A;ALACANT;;03000710;3002;CL.  VILLAVIEJA, S/N;03000710@edu.gva.es;;38,346721;-0,47826;CEIP SAN ROQUE;;Alacant;Púb.;965937045
Q5355187E;ALACANT;;03000722;3012;CL.  PINOSO, 27;03000722@edu.gva.es;;38,359595;-0,480952;CEIP 9 D'OCTUBRE;;Alacant;Púb.;965919020
Q5355053I;ALACANT;;03000734;3007;CL.  DOCTOR JUST, 70;03000734@edu.gva.es;;38,338719;-0,497166;CEIP BENALÚA;;Alacant;Púb.;965919040
